no,unit,name,money
文化部,第一期,文化內容開發組,單位：新台幣
NO,申請單位,計畫名稱,獲補助金額
1,兔子創意股份有限公司,《劍與火槍》The Sword And The Musket 國際整合開發計畫,483萬
2,紅衣小女孩股份有限公司,紅衣小女孩文化內容開發計畫,980萬
3,瘋戲樂工作室,華文音樂劇IP開發與人才育成計畫,385萬
4,內容力有限公司,重大歷史懸疑案件調查辦公室─孵化在地懸疑推理類型IP的基礎工程,493萬
5,原金國際有限公司,原創動畫角色加速開發計畫,375萬
6,鏡文學股份有限公司,鏡文學IP內容開發計畫,1000萬
7,光點吉樹有限公司,新創世神話 原創內容孵化轉譯計劃,269萬
8,三映電影文化事業有限公司,六城彩虹影視IP 開發計畫,228萬
9,臺灣各種吧股份有限公司,臺灣吧文化動畫轉譯中心暨影視作品開發計畫,340萬
10,國立臺灣藝術大學,臺灣原創動畫《虎爺》擴增實境遊戲加值計畫,188萬
11,好識共創有限公司,「國民訂製」影視IP開發計畫,123萬
12,肯特動畫數位獨立製片股份有限公司,翼。次元劇場,833萬
13,冉色斯動畫股份有限公司,IP跨域製作計畫─順風耳的新香爐,619萬
14,實踐大學,以科技與跨界整合重現在地文化資產價值 - 以典寶溪為例,172萬
15,世界柔軟數位影像文化有限公司,溫室,48萬
16,霹靂國際多媒體股份有限公司,從【霹靂Q俠傳AR-APP】到【霹靂無雙AR-手機遊戲】霹靂IP發展AR、MR應用計畫 啟動台灣自主研發AR與MR應用的全方位娛樂體驗,700萬
評選委員名單(依姓氏筆畫序列)：丁曉菁、王淑芳、邱明慧、馮賢賢、黃俊傑、葉家宏、董澤平、劉奕成,,,
